# source=kernel stair detail
# input_file=kernel-sweep-wide-count10.csv
p_header,p_value,plateau_index,start_r_px,end_r_px,start_r_norm,end_r_norm,tread_px,level_eff01,riser_to_next01,delta_tread_to_prev,tread_ratio_to_prev,log2_tread_ratio_to_prev
0_45,0.45,20,6027,6195,75.3375,77.4375,169,0.205714287,0.0128571435,-3,0.98255814,-0.02538532
0_45,0.45,21,6196,6361,77.45,79.5125,166,0.1928571435,0.0128571435,-3,0.98224852,-0.02584
0_45,0.45,22,6362,6525,79.525,81.5625,164,0.18,0.0128571435,-2,0.98795181,-0.01748743
0_45,0.45,23,6526,6686,81.575,83.575,161,0.1671428565,0.0128571435,-3,0.98170732,-0.02663513
0_45,0.45,24,6687,6846,83.5875,85.575,160,0.154285713,0.0128571435,-1,0.99378882,-0.00898878
0_45,0.45,25,6847,7004,85.5875,87.55,158,0.1414285695,0.012857139,-2,0.9875,-0.01814735
0_45,0.45,26,7005,7160,87.5625,89.5,156,0.1285714305,0.0128571435,-2,0.98734177,-0.01837853
0_45,0.45,27,7161,7316,89.5125,91.45,156,0.115714287,0.0128571435,0,1,0
0_45,0.45,28,7317,7470,91.4625,93.375,154,0.1028571435,0.0128571435,-2,0.98717949,-0.01861568
0_45,0.45,29,7471,7622,93.3875,95.275,152,0.09,0.0128571435,-2,0.98701299,-0.01885903
0_45,0.45,30,7623,7774,95.2875,97.175,152,0.0771428565,0.0128571435,0,1,0
0_45,0.45,31,7775,7925,97.1875,99.0625,151,0.064285713,0.0128571435,-1,0.99342105,-0.00952277
0_45,0.45,32,7926,8000,99.075,100,75,0.0514285695,,-76,0.49668874,-1.00958605
0_55,0.55,1,0,425,0,5.3125,426,0.55,0.011224488,,,
0_55,0.55,2,426,949,5.325,11.8625,524,0.538775512,0.0112244935,98,1.23004695,0.29871338
0_55,0.55,3,950,1474,11.875,18.425,525,0.5275510185,0.011224488,1,1.0019084,0.00275061
0_55,0.55,4,1475,1999,18.4375,24.9875,525,0.5163265305,0.011224488,0,1,0
0_55,0.55,5,2000,2525,25,31.5625,526,0.5051020425,0.0112244935,1,1.00190476,0.00274538
0_55,0.55,6,2526,3015,31.575,37.6875,490,0.493877549,0.011224488,-36,0.93155894,-0.10228105
0_55,0.55,7,3016,3177,37.7,39.7125,162,0.482653061,0.011224488,-328,0.33061224,-1.59678794
0_55,0.55,8,3178,3338,39.725,41.725,161,0.471428573,0.0112244935,-1,0.99382716,-0.00893312
0_55,0.55,9,3339,3499,41.7375,43.7375,161,0.4602040795,0.011224488,0,1,0
0_55,0.55,10,3500,3659,43.75,45.7375,160,0.4489795915,0.011224488,-1,0.99378882,-0.00898878
0_55,0.55,11,3660,3818,45.75,47.725,159,0.4377551035,0.0112244935,-1,0.99375,-0.00904514
0_55,0.55,12,3819,3977,47.7375,49.7125,159,0.42653061,0.011224488,0,1,0
