pressure,first_abs_mean01,first_nonzero_ratio,peak_abs_mean01,peak_nonzero_ratio,steady_tail_abs_mean01,steady_tail_nonzero_ratio,first_vs_peak_abs,first_vs_steady_abs,first_vs_peak_area,first_vs_steady_area
0.05,0,0,0,0,0,0,0,0,0,0
0.1,0.00031186,0.07952345,0.00392052,0.77440964,0.00315722,0.65591073,0.07954465,0.09877565,0.10268912,0.12124126
0.15,0.00286517,0.73061888,0.00396348,0.88628974,0.00319034,0.72083948,0.72289273,0.89807797,0.8243567,1.01356669
0.2,0.00356665,0.90949555,0.00735934,0.9755415,0.00429204,0.74074255,0.48464233,0.83099077,0.93229816,1.22781599
0.25,0.00373942,0.94311377,0.00934553,0.99385206,0.0053209,0.79363972,0.40012974,0.70278022,0.94894785,1.18833993
0.3,0.00411208,0.94672969,0.01226818,0.99787665,0.00636639,0.82795759,0.33518211,0.64590379,0.9487442,1.14345191
0.35,0.00464214,0.94000426,0.01573289,0.99952025,0.00733921,0.84601716,0.29505946,0.63251239,0.94045545,1.11109361
0.4,0.0051422,0.92701541,0.01968062,1,0.00748208,0.832322,0.2612825,0.68726943,0.92701541,1.11377015
0.45,0.00563108,0.91069493,0.02398028,1,0.00809219,0.8476119,0.23482142,0.69586614,0.91069493,1.07442443
0.5,0.00611206,0.89074077,0.02832798,1,0.0098318,0.86615345,0.21576036,0.62166177,0.89074077,1.0283868
0.55,0.00659226,0.86900975,0.03249598,1,0.01091813,0.8647253,0.20286392,0.6037905,0.86900975,1.0049547
0.6,0.0071157,0.84814051,0.03634919,1,0.01171757,0.86838563,0.19575963,0.60726806,0.84814051,0.97668649
0.65,0.00768963,0.82744008,0.04242313,1,0.01316184,0.87546421,0.18126032,0.58423665,0.82744008,0.94514438
0.7,0.00835135,0.80941381,0.04926095,1,0.01435569,0.87537758,0.16953297,0.58174515,0.80941381,0.92464535
0.75,0.00913798,0.79482578,0.05732581,1,0.01513125,0.86650216,0.15940432,0.60391456,0.79482578,0.91728078
0.8,0.01006582,0.78364043,0.06459676,1,0.01617137,0.87151291,0.15582541,0.62244691,0.78364043,0.89917249
0.85,0.01117852,0.7760177,0.07257651,1,0.01686926,0.86690195,0.15402388,0.66265616,0.7760177,0.89516201
0.9,0.01251928,0.77261501,0.08116143,1,0.01745168,0.86412339,0.15425159,0.71736807,0.77261501,0.89410265
0.95,0.01415176,0.7734679,0.0916606,1,0.01803262,0.86127596,0.15439309,0.78478682,0.7734679,0.89804886
1,0.01613119,0.77852307,0.10244632,1,0.01821662,0.85572105,0.15745989,0.88552023,0.77852307,0.90978605
