file,scale,period_px,period_dip,roi_x,roi_y,roi_w,roi_h,window_w_px,window_w_dip,win_index,win_x,alpha_nonzero_count,alpha_mean,alpha_stddev,alpha_max
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,0,8,375,0.00193907,0.00585328,5
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,1,14,754,0.00389882,0.00782602,5
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,2,20,1011,0.00522772,0.00867037,5
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,3,26,1218,0.00629809,0.00915565,5
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,4,32,1431,0.00739948,0.0095045,5
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,5,38,1567,0.00810271,0.00965519,5
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,6,44,1663,0.00859911,0.00972961,5
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,7,50,1812,0.00936957,0.0097943,5
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,8,56,2011,0.01039857,0.00978587,5
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,9,62,2078,0.01121556,0.01061023,10
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,10,68,2185,0.01383201,0.01338853,10
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,11,74,2272,0.01600894,0.01499013,10
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,12,80,2349,0.01742058,0.01565047,10
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,13,86,2455,0.01915798,0.01618923,10
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,14,92,2566,0.02095226,0.01657043,15
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,15,98,2631,0.02196058,0.01665049,15
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,16,104,2723,0.02336705,0.01675131,15
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,17,110,2798,0.0244581,0.01680677,15
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,18,116,2877,0.02564222,0.01677016,15
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,19,122,2940,0.02876541,0.01934726,20
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,20,128,2940,0.03117502,0.02149568,20
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,21,134,3003,0.03372942,0.02256972,20
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,22,140,3087,0.03625796,0.0234544,20
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,23,146,3142,0.03767477,0.02330884,25
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,24,152,3167,0.03948457,0.02376268,25
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,25,158,3230,0.04100997,0.02383927,25
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,26,164,3247,0.04346095,0.02461763,25
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,27,170,3320,0.04511562,0.02473766,25
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,28,176,3342,0.04721498,0.02586805,30
pencil-highres-1280x648-dpi96-S80-P0.2-N1-scale8-transparent.png,8,6,0.75,8,8,1264,632,6,0.75,29,182,3383,0.05072082,0.02886101,30
