file,roi_x,roi_y,roi_w,roi_h,scale,period_px,window_w_px,period_dip,window_w_dip,win_index,win_x,alpha_nonzero_count,alpha_mean,alpha_stddev,alpha_max
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,0,10,49,0.00110435,0.00452043,5
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,1,13,87,0.00196078,0.00588235,5
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,2,16,190,0.00428217,0.00810106,5
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,3,19,227,0.00511607,0.00861051,5
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,4,22,289,0.00651341,0.00923523,5
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,5,25,327,0.00736984,0.00949695,5
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,6,28,338,0.00761776,0.00955707,5
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,7,31,365,0.00822628,0.00967615,5
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,8,34,408,0.0091954,0.00978502,5
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,9,37,468,0.01171963,0.01176462,10
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,10,40,504,0.01451431,0.01405937,10
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,11,43,520,0.01633987,0.01531614,10
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,12,46,541,0.01733153,0.01552308,10
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,13,49,569,0.01872887,0.01574886,10
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,14,52,587,0.0198783,0.01597982,10
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,15,55,604,0.02091503,0.01609416,10
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,16,58,619,0.0224476,0.01668226,15
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,17,61,608,0.02283074,0.01699384,15
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,18,64,623,0.0256705,0.01912669,15
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,19,67,658,0.02900609,0.02048012,20
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,20,70,693,0.03263466,0.02164324,20
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,21,73,707,0.03409962,0.02166136,20
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,22,76,698,0.03511382,0.02242473,20
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,23,79,682,0.03666892,0.0238236,20
pencil-highres-600x310-dpi96-S30-P0.2-N1-scale10-transparent.png,10,10,580,290,10,3,3,0.3,0.3,24,82,715,0.03860717,0.02363587,20
