file,scale,period_px,period_dip,roi_x,roi_y,roi_w,roi_h,window_w_px,window_w_dip,win_index,win_x,alpha_nonzero_count,alpha_mean,alpha_stddev,alpha_max
pencil-highres-480x248-dpi96-S30-P0.2-N1-scale8-transparent.png,8,2,0.25,8,8,464,232,2,0.25,0,8,24,0.0010142,0.00434254,5
pencil-highres-480x248-dpi96-S30-P0.2-N1-scale8-transparent.png,8,2,0.25,8,8,464,232,2,0.25,1,10,37,0.00156356,0.00531162,5
pencil-highres-480x248-dpi96-S30-P0.2-N1-scale8-transparent.png,8,2,0.25,8,8,464,232,2,0.25,2,12,82,0.00346518,0.00747912,5
pencil-highres-480x248-dpi96-S30-P0.2-N1-scale8-transparent.png,8,2,0.25,8,8,464,232,2,0.25,3,14,108,0.00456389,0.00828607,5
pencil-highres-480x248-dpi96-S30-P0.2-N1-scale8-transparent.png,8,2,0.25,8,8,464,232,2,0.25,4,16,133,0.00562035,0.00886649,5
pencil-highres-480x248-dpi96-S30-P0.2-N1-scale8-transparent.png,8,2,0.25,8,8,464,232,2,0.25,5,18,155,0.00655003,0.00924819,5
pencil-highres-480x248-dpi96-S30-P0.2-N1-scale8-transparent.png,8,2,0.25,8,8,464,232,2,0.25,6,20,174,0.00735294,0.00949261,5
pencil-highres-480x248-dpi96-S30-P0.2-N1-scale8-transparent.png,8,2,0.25,8,8,464,232,2,0.25,7,22,177,0.00747972,0.00952444,5
pencil-highres-480x248-dpi96-S30-P0.2-N1-scale8-transparent.png,8,2,0.25,8,8,464,232,2,0.25,8,24,185,0.00781778,0.00960063,5
pencil-highres-480x248-dpi96-S30-P0.2-N1-scale8-transparent.png,8,2,0.25,8,8,464,232,2,0.25,9,26,205,0.00866295,0.0097373,5
pencil-highres-480x248-dpi96-S30-P0.2-N1-scale8-transparent.png,8,2,0.25,8,8,464,232,2,0.25,10,28,227,0.00959263,0.00980164,5
