file,roi_x,roi_y,roi_w,roi_h,scale,period_px,window_w_px,period_dip,window_w_dip,win_index,win_x,alpha_nonzero_count,alpha_mean,alpha_stddev,alpha_max
pencil-highres-2880x1452-dpi96-S120-P0.2-N1-scale12-transparent.png,12,12,2856,1428,12,12,12,1,1,0,12,1471,0.0026931,0.00878844,8
pencil-highres-2880x1452-dpi96-S120-P0.2-N1-scale12-transparent.png,12,12,2856,1428,12,12,12,1,1,1,24,2973,0.00544296,0.01187997,8
pencil-highres-2880x1452-dpi96-S120-P0.2-N1-scale12-transparent.png,12,12,2856,1428,12,12,12,1,1,2,36,4103,0.00751176,0.01338793,8
pencil-highres-2880x1452-dpi96-S120-P0.2-N1-scale12-transparent.png,12,12,2856,1428,12,12,12,1,1,3,48,5016,0.00918328,0.01427481,8
pencil-highres-2880x1452-dpi96-S120-P0.2-N1-scale12-transparent.png,12,12,2856,1428,12,12,12,1,1,4,60,6003,0.01099028,0.01496686,8
pencil-highres-2880x1452-dpi96-S120-P0.2-N1-scale12-transparent.png,12,12,2856,1428,12,12,12,1,1,5,72,6503,0.01190568,0.01522387,8
pencil-highres-2880x1452-dpi96-S120-P0.2-N1-scale12-transparent.png,12,12,2856,1428,12,12,12,1,1,6,84,7132,0.01305725,0.01546439,8
pencil-highres-2880x1452-dpi96-S120-P0.2-N1-scale12-transparent.png,12,12,2856,1428,12,12,12,1,1,7,96,7721,0.01413559,0.01560944,8
pencil-highres-2880x1452-dpi96-S120-P0.2-N1-scale12-transparent.png,12,12,2856,1428,12,12,12,1,1,8,108,8337,0.01526336,0.01568057,8
pencil-highres-2880x1452-dpi96-S120-P0.2-N1-scale12-transparent.png,12,12,2856,1428,12,12,12,1,1,9,120,8669,0.01587119,0.01568518,8
pencil-highres-2880x1452-dpi96-S120-P0.2-N1-scale12-transparent.png,12,12,2856,1428,12,12,12,1,1,10,132,9245,0.01721133,0.01617571,16
pencil-highres-2880x1452-dpi96-S120-P0.2-N1-scale12-transparent.png,12,12,2856,1428,12,12,12,1,1,11,144,9837,0.02160524,0.02089585,16
pencil-highres-2880x1452-dpi96-S120-P0.2-N1-scale12-transparent.png,12,12,2856,1428,12,12,12,1,1,12,156,10135,0.02485857,0.02361012,16
