# source=InkDrawGen generated dot obs=1414_989 canvas=5 pressure=0.3 opacity=1
# size=200
# scale=80
# angle_step_deg=1
# angle_count=360
# paper_tile=NoiseTile-angle1-maxr8000-canvas5-papertile-seed1414_988-S200-P1.0-Op1-scale80-start22_22-size3482x3482.png
# obs_seed_px=1414,988
# obs_paper_tile_px=1414,989
# obs_actual_px=1414,989
# obs_window_px=9
# p_sweep_count=10
# zero_policy=keep_zero_as_missing, no_interpolation
# aggregate=median
r_px,r_norm,kernel01,valid_angle_count,mean01,min01,max01,stddev01
158,1.975,1,360,1,1,1,0
159,1.9875,1,360,1,1,1,0
160,2,1,360,1,1,1,0
161,2.0125,1,360,1,1,1,0
162,2.025,1,360,1,1,1,0
163,2.0375,1,360,1,1,1,0
164,2.05,1,360,1,1,1,0
165,2.0625,1,360,1,1,1,0
166,2.075,1,360,1,1,1,0
167,2.0875,1,360,1,1,1,0
168,2.1,1,360,1,1,1,0
169,2.1125,1,360,1,1,1,0
170,2.125,1,360,1,1,1,0
171,2.1375,1,360,1,1,1,0
172,2.15,1,360,1,1,1,0
173,2.1625,1,360,1,1,1,0
174,2.175,1,360,1,1,1,0
175,2.1875,1,360,1,1,1,0
176,2.2,1,360,1,1,1,0
177,2.2125,1,360,1,1,1,0
178,2.225,1,360,1,1,1,0
179,2.2375,1,360,1,1,1,0
180,2.25,1,360,1,1,1,0
181,2.2625,1,360,1,1,1,0
182,2.275,1,360,1,1,1,0
183,2.2875,1,360,1,1,1,0
184,2.3,1,360,1,1,1,0
185,2.3125,1,360,1,1,1,0
186,2.325,1,360,1,1,1,0
187,2.3375,1,360,1,1,1,0
188,2.35,1,360,1,1,1,0
189,2.3625,1,360,1,1,1,0
190,2.375,1,360,1,1,1,0
191,2.3875,1,360,1,1,1,0
192,2.4,1,360,1,1,1,0
193,2.4125,1,360,1,1,1,0
194,2.425,1,360,1,1,1,0
195,2.4375,1,360,1,1,1,0
196,2.45,1,360,1,1,1,0
197,2.4625,1,360,1,1,1,0
198,2.475,1,360,1,1,1,0
199,2.4875,1,360,1,1,1,0
200,2.5,1,360,1,1,1,0
201,2.5125,1,360,1,1,1,0
202,2.525,1,360,1,1,1,0
203,2.5375,1,360,1,1,1,0
204,2.55,1,360,1,1,1,0
205,2.5625,1,360,1,1,1,0
206,2.575,1,360,1,1,1,0
207,2.5875,1,360,1,1,1,0
208,2.6,1,360,1,1,1,0
209,2.6125,1,360,1,1,1,0
210,2.625,1,360,1,1,1,0
211,2.6375,1,360,1,1,1,0
212,2.65,1,360,1,1,1,0
213,2.6625,1,360,1,1,1,0
214,2.675,1,360,1,1,1,0
215,2.6875,1,360,1,1,1,0
216,2.7,1,360,1,1,1,0
217,2.7125,1,360,1,1,1,0
218,2.725,1,360,1,1,1,0
219,2.7375,1,360,1,1,1,0
220,2.75,1,360,1,1,1,0
221,2.7625,1,360,1,1,1,0
222,2.775,1,360,1,1,1,0
223,2.7875,1,360,1,1,1,0
224,2.8,1,360,1,1,1,0
225,2.8125,1,360,1,1,1,0
226,2.825,1,360,1,1,1,0
227,2.8375,1,360,1,1,1,0
228,2.85,1,360,1,1,1,0
229,2.8625,1,360,1,1,1,0
230,2.875,1,360,1,1,1,0
231,2.8875,1,360,1,1,1,0
232,2.9,1,360,1,1,1,0
233,2.9125,1,360,1,1,1,0
234,2.925,1,360,1,1,1,0
235,2.9375,1,360,1,1,1,0
236,2.95,1,360,1,1,1,0
237,2.9625,1,360,1,1,1,0
238,2.975,1,360,1,1,1,0
239,2.9875,1,360,1,1,1,0
240,3,1,360,1,1,1,0
241,3.0125,1,360,1,1,1,0
242,3.025,1,360,1,1,1,0
243,3.0375,1,360,1,1,1,0
244,3.05,1,360,1,1,1,0
245,3.0625,1,360,1,1,1,0
246,3.075,1,360,1,1,1,0
247,3.0875,1,360,1,1,1,0
248,3.1,1,360,1,1,1,0
249,3.1125,1,360,1,1,1,0
250,3.125,1,360,1,1,1,0
251,3.1375,1,360,1,1,1,0
252,3.15,1,360,1,1,1,0
253,3.1625,1,360,1,1,1,0
254,3.175,1,360,1,1,1,0
255,3.1875,1,360,1,1,1,0
256,3.2,1,360,1,1,1,0
257,3.2125,1,360,1,1,1,0
258,3.225,1,360,1,1,1,0
259,3.2375,1,360,1,1,1,0
260,3.25,1,360,1,1,1,0
261,3.2625,1,360,1,1,1,0
262,3.275,1,360,1,1,1,0
263,3.2875,1,360,1,1,1,0
264,3.3,1,360,1,1,1,0
265,3.3125,1,360,1,1,1,0
266,3.325,1,360,1,1,1,0
267,3.3375,1,360,1,1,1,0
268,3.35,1,360,1,1,1,0
269,3.3625,1,360,1,1,1,0
270,3.375,1,360,1,1,1,0
271,3.3875,1,360,1,1,1,0
272,3.4,1,360,1,1,1,0
273,3.4125,1,360,1,1,1,0
274,3.425,1,360,1,1,1,0
275,3.4375,1,360,1,1,1,0
276,3.45,1,360,1,1,1,0
277,3.4625,1,360,1,1,1,0
278,3.475,1,360,1,1,1,0
279,3.4875,1,360,1,1,1,0
280,3.5,1,360,1,1,1,0
281,3.5125,1,360,1,1,1,0
282,3.525,1,360,1,1,1,0
283,3.5375,1,360,1,1,1,0
284,3.55,1,360,1,1,1,0
285,3.5625,1,360,1,1,1,0
286,3.575,1,360,1,1,1,0
287,3.5875,1,360,1,1,1,0
288,3.6,1,360,1,1,1,0
289,3.6125,1,360,1,1,1,0
290,3.625,1,360,1,1,1,0
291,3.6375,1,360,1,1,1,0
292,3.65,1,360,1,1,1,0
293,3.6625,1,360,1,1,1,0
294,3.675,1,360,1,1,1,0
295,3.6875,1,360,1,1,1,0
296,3.7,1,360,1,1,1,0
297,3.7125,1,360,1,1,1,0
298,3.725,1,360,1,1,1,0
299,3.7375,1,360,1,1,1,0
300,3.75,1,360,1,1,1,0
301,3.7625,1,360,1,1,1,0
302,3.775,1,360,1,1,1,0
303,3.7875,1,360,1,1,1,0
304,3.8,1,360,1,1,1,0
305,3.8125,1,360,1,1,1,0
306,3.825,1,360,1,1,1,0
307,3.8375,1,360,1,1,1,0
308,3.85,1,360,1,1,1,0
309,3.8625,1,360,1,1,1,0
310,3.875,1,360,1,1,1,0
311,3.8875,1,360,1,1,1,0
312,3.9,1,360,1,1,1,0
313,3.9125,1,360,1,1,1,0
314,3.925,1,360,1,1,1,0
315,3.9375,1,360,1,1,1,0
316,3.95,1,360,1,1,1,0
317,3.9625,1,360,1,1,1,0
318,3.975,1,360,1,1,1,0
319,3.9875,1,360,1,1,1,0
320,4,1,360,1,1,1,0
321,4.0125,1,360,1,1,1,0
322,4.025,1,360,1,1,1,0
323,4.0375,1,360,1,1,1,0
324,4.05,1,360,1,1,1,0
325,4.0625,1,360,1,1,1,0
326,4.075,1,360,1,1,1,0
327,4.0875,1,360,1,1,1,0
328,4.1,1,360,1,1,1,0
329,4.1125,1,360,1,1,1,0
330,4.125,1,360,1,1,1,0
331,4.1375,1,360,1,1,1,0
332,4.15,1,360,1,1,1,0
333,4.1625,1,360,1,1,1,0
334,4.175,1,360,1,1,1,0
335,4.1875,1,360,1,1,1,0
336,4.2,1,360,1,1,1,0
337,4.2125,1,360,1,1,1,0
338,4.225,1,360,1,1,1,0
339,4.2375,1,360,1,1,1,0
340,4.25,1,360,1,1,1,0
341,4.2625,1,360,1,1,1,0
342,4.275,1,360,1,1,1,0
343,4.2875,1,360,1,1,1,0
344,4.3,1,360,1,1,1,0
345,4.3125,1,360,1,1,1,0
346,4.325,1,360,1,1,1,0
347,4.3375,1,360,1,1,1,0
348,4.35,1,360,1,1,1,0
349,4.3625,1,360,1,1,1,0
350,4.375,1,360,1,1,1,0
351,4.3875,1,360,1,1,1,0
352,4.4,1,360,1,1,1,0
353,4.4125,1,360,1,1,1,0
354,4.425,1,360,1,1,1,0
355,4.4375,1,360,1,1,1,0
356,4.45,1,360,1,1,1,0
357,4.4625,1,360,1,1,1,0
358,4.475,1,360,1,1,1,0
359,4.4875,1,360,1,1,1,0
360,4.5,1,360,1,1,1,0
361,4.5125,1,360,1,1,1,0
362,4.525,1,360,1,1,1,0
363,4.5375,1,360,1,1,1,0
364,4.55,1,360,1,1,1,0
365,4.5625,1,360,1,1,1,0
366,4.575,1,360,1,1,1,0
367,4.5875,1,360,1,1,1,0
368,4.6,1,360,1,1,1,0
369,4.6125,1,360,1,1,1,0
370,4.625,1,360,1,1,1,0
371,4.6375,1,360,1,1,1,0
372,4.65,1,360,1,1,1,0
373,4.6625,1,360,1,1,1,0
374,4.675,1,360,1,1,1,0
375,4.6875,1,360,1,1,1,0
376,4.7,1,360,1,1,1,0
377,4.7125,1,360,1,1,1,0
378,4.725,1,360,1,1,1,0
379,4.7375,1,360,1,1,1,0
380,4.75,1,360,1,1,1,0
381,4.7625,1,360,1,1,1,0
382,4.775,1,360,1,1,1,0
383,4.7875,1,360,1,1,1,0
384,4.8,1,360,1,1,1,0
385,4.8125,1,360,1,1,1,0
386,4.825,1,360,1,1,1,0
387,4.8375,1,360,1,1,1,0
388,4.85,1,360,1,1,1,0
389,4.8625,1,360,1,1,1,0
390,4.875,1,360,1,1,1,0
391,4.8875,1,360,1,1,1,0
392,4.9,1,360,1,1,1,0
393,4.9125,1,360,1,1,1,0
394,4.925,1,360,1,1,1,0
395,4.9375,1,360,1,1,1,0
396,4.95,1,360,1,1,1,0
397,4.9625,1,360,1,1,1,0
398,4.975,1,360,1,1,1,0
399,4.9875,1,360,1,1,1,0
400,5,1,360,1,1,1,0
401,5.0125,1,360,1,1,1,0
402,5.025,1,360,1,1,1,0
403,5.0375,1,360,1,1,1,0
404,5.05,1,360,1,1,1,0
405,5.0625,1,360,1,1,1,0
406,5.075,1,360,1,1,1,0
407,5.0875,1,360,1,1,1,0
408,5.1,1,360,1,1,1,0
409,5.1125,1,360,1,1,1,0
410,5.125,1,360,1,1,1,0
411,5.1375,1,360,1,1,1,0
412,5.15,1,360,1,1,1,0
413,5.1625,1,360,1,1,1,0
414,5.175,1,360,1,1,1,0
415,5.1875,1,360,1,1,1,0
416,5.2,1,360,1,1,1,0
417,5.2125,1,360,1,1,1,0
418,5.225,1,360,1,1,1,0
419,5.2375,1,360,1,1,1,0
420,5.25,1,360,1,1,1,0
421,5.2625,1,360,1,1,1,0
422,5.275,1,360,1,1,1,0
423,5.2875,1,360,1,1,1,0
424,5.3,1,360,1,1,1,0
425,5.3125,1,360,1,1,1,0
426,5.325,1,360,1,1,1,0
427,5.3375,1,360,1,1,1,0
428,5.35,1,360,1,1,1,0
429,5.3625,1,360,1,1,1,0
430,5.375,1,360,1,1,1,0
431,5.3875,1,360,1,1,1,0
432,5.4,1,360,1,1,1,0
433,5.4125,1,360,1,1,1,0
434,5.425,1,360,1,1,1,0
435,5.4375,1,360,1,1,1,0
436,5.45,1,360,1,1,1,0
437,5.4625,1,360,1,1,1,0
438,5.475,1,360,1,1,1,0
439,5.4875,1,360,1,1,1,0
440,5.5,1,360,1,1,1,0
441,5.5125,1,360,1,1,1,0
442,5.525,1,360,1,1,1,0
443,5.5375,1,360,1,1,1,0
444,5.55,1,360,1,1,1,0
445,5.5625,1,360,1,1,1,0
446,5.575,1,360,1,1,1,0
447,5.5875,1,360,1,1,1,0
448,5.6,1,360,1,1,1,0
449,5.6125,1,360,1,1,1,0
450,5.625,1,360,1,1,1,0
451,5.6375,1,360,1,1,1,0
452,5.65,1,360,1,1,1,0
453,5.6625,1,360,1,1,1,0
454,5.675,1,360,1,1,1,0
455,5.6875,1,360,1,1,1,0
456,5.7,1,360,1,1,1,0
457,5.7125,1,360,1,1,1,0
458,5.725,1,360,1,1,1,0
459,5.7375,1,360,1,1,1,0
460,5.75,1,360,1,1,1,0
461,5.7625,1,360,1,1,1,0
462,5.775,1,360,1,1,1,0
463,5.7875,1,360,1,1,1,0
464,5.8,1,360,1,1,1,0
465,5.8125,1,360,1,1,1,0
466,5.825,1,360,1,1,1,0
467,5.8375,1,360,1,1,1,0
468,5.85,1,360,1,1,1,0
469,5.8625,1,360,1,1,1,0
470,5.875,1,360,1,1,1,0
471,5.8875,1,360,1,1,1,0
472,5.9,1,360,1,1,1,0
473,5.9125,1,360,1,1,1,0
474,5.925,1,360,1,1,1,0
475,5.9375,1,360,1,1,1,0
476,5.95,1,360,1,1,1,0
477,5.9625,1,360,1,1,1,0
478,5.975,1,360,1,1,1,0
479,5.9875,1,360,1,1,1,0
480,6,1,360,1,1,1,0
481,6.0125,1,360,1,1,1,0
482,6.025,1,360,1,1,1,0
483,6.0375,1,360,1,1,1,0
484,6.05,1,360,1,1,1,0
485,6.0625,1,360,1,1,1,0
486,6.075,1,360,1,1,1,0
487,6.0875,1,360,1,1,1,0
