r,mean_alpha
0,0.74607843
1,0.74803922
2,0.72843137
3,0.73039216
4,0.73221289
5,0.72916667
6,0.73885918
7,0.72571644
8,0.7247549
9,0.71986928
10,0.72802768
11,0.71795343
12,0.72361466
13,0.72027864
14,0.71847059
15,0.71462418
16,0.72513725
17,0.71263617
18,0.70603318
19,0.71240896
20,0.70106952
21,0.70606061
22,0.70859285
23,0.70988796
24,0.70766074
25,0.70539216
26,0.70506934
27,0.69925926
28,0.70098039
29,0.69601449
30,0.69277711
31,0.69538639
32,0.69464555
33,0.69653979
34,0.69126896
35,0.69394796
36,0.69045323
37,0.69032465
38,0.68034394
39,0.67515213
40,0.67230769
41,0.66794872
42,0.66117053
43,0.65218172
44,0.65074565
45,0.63905453
46,0.6389916
47,0.63387186
48,0.62672476
49,0.6247936
50,0.61706609
51,0.61296155
52,0.60604974
53,0.59688257
54,0.59314936
55,0.58311302
56,0.57930283
57,0.57199957
58,0.56436533
59,0.55646375
60,0.55115583
61,0.54090044
62,0.52929293
63,0.52501961
64,0.52404596
65,0.51058274
66,0.50131976
67,0.48993036
68,0.48321422
69,0.47508484
70,0.46796836
71,0.45320201
72,0.43912191
73,0.42967437
74,0.41742388
75,0.40244686
76,0.39758342
77,0.37466922
78,0.36037647
79,0.35095648
80,0.33342989
81,0.32720389
82,0.31207155
83,0.28843137
84,0.28007519
85,0.25409111
86,0.24589953
87,0.22969888
88,0.21081336
89,0.19732304
90,0.17745098
91,0.16368004
92,0.1404192
93,0.12084014
94,0.10927152
95,0.09138044
96,0.07305524
97,0.06107578
98,0.0440797
99,0.02946109
100,0.00669306
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
