S,P,N,center_alpha
100,0.05,7,0.05490196
100,0.05,8,0.0627451
100,0.05,9,0.07058824
100,0.05,10,0.07843137
100,0.05,15,0.11764706
100,0.05,20,0.15686275
100,0.05,25,0.19607843
100,0.05,50,0.32156863
100,0.05,75,0.41960784
100,0.05,100,0.51764706
100,0.1,1,0.01666667
100,0.1,2,0.03333333
100,0.1,3,0.05
100,0.1,4,0.06666667
100,0.1,5,0.08333333
100,0.1,6,0.1
100,0.1,7,0.11568627
100,0.1,8,0.13137255
100,0.1,9,0.14411765
100,0.1,10,0.15686275
100,0.1,15,0.22058824
100,0.1,20,0.28235294
100,0.1,25,0.34117647
100,0.1,50,0.56176471
100,0.1,75,0.70196078
100,0.1,100,0.8
100,0.25,1,0.05588235
100,0.25,2,0.10784314
100,0.25,3,0.15784314
100,0.25,4,0.20588235
100,0.25,5,0.25098039
100,0.25,6,0.29313725
100,0.25,7,0.33137255
100,0.25,8,0.36862745
100,0.25,9,0.40392157
100,0.25,10,0.4372549
100,0.25,15,0.57745098
100,0.25,20,0.68333333
100,0.25,25,0.76372549
100,0.25,50,0.93921569
100,0.25,75,0.96666667
100,0.25,100,0.96666667
100,0.5,1,0.16666667
100,0.5,2,0.30392157
100,0.5,3,0.41960784
100,0.5,4,0.51568627
100,0.5,5,0.59705882
100,0.5,6,0.66372549
100,0.5,7,0.71862745
100,0.5,8,0.76568627
100,0.5,9,0.80588235
100,0.5,10,0.83823529
100,0.5,15,0.93431373
100,0.5,20,0.97254902
100,0.5,25,0.98921569
100,0.5,50,0.99117647
100,0.5,75,0.99117647
100,0.5,100,0.99117647
100,0.65,1,0.26764706
100,0.65,2,0.4627451
100,0.65,3,0.60588235
100,0.65,4,0.71176471
100,0.65,5,0.78823529
100,0.65,6,0.84509804
100,0.65,7,0.88627451
100,0.65,8,0.91568627
100,0.65,9,0.9372549
100,0.65,10,0.95392157
100,0.65,15,0.99019608
100,0.65,20,0.99509804
100,0.65,25,0.99509804
100,0.65,50,0.99509804
100,0.65,75,0.99509804
100,0.65,100,0.99509804
100,0.77,1,0.36764706
100,0.77,2,0.6
100,0.77,3,0.74607843
100,0.77,4,0.83823529
100,0.77,5,0.89705882
100,0.77,6,0.93431373
100,0.77,7,0.95882353
100,0.77,8,0.97352941
100,0.77,9,0.98235294
100,0.77,10,0.98921569
100,0.77,15,0.99607843
100,0.77,20,0.99607843
100,0.77,25,0.99607843
100,0.77,50,0.99607843
100,0.77,75,0.99607843
100,0.77,100,0.99607843
100,0.85,1,0.44411765
100,0.85,2,0.69019608
100,0.85,3,0.82745098
100,0.85,4,0.90392157
100,0.85,5,0.94607843
100,0.85,6,0.96960784
100,0.85,7,0.98333333
100,0.85,8,0.99019608
100,0.85,9,0.99509804
100,0.85,10,0.99607843
100,0.85,15,0.99607843
100,0.85,20,0.99607843
100,0.85,25,0.99607843
100,0.85,50,0.99607843
100,0.85,75,0.99607843
100,0.85,100,0.99607843
100,1,1,0.59901961
100,1,2,0.84019608
100,1,3,0.93529412
100,1,4,0.97352941
100,1,5,0.99019608
100,1,6,0.99509804
100,1,7,0.99901961
100,1,8,1
100,1,9,1
100,1,10,1
100,1,15,1
100,1,20,1
100,1,25,1
100,1,50,1
100,1,75,1
100,1,100,1
150,0.05,1,0.00784314
150,0.05,2,0.01568627
150,0.05,3,0.02352941
150,0.05,4,0.03137255
150,0.05,5,0.03921569
150,0.05,6,0.04705882
150,0.05,7,0.05490196
150,0.05,8,0.0627451
150,0.05,9,0.07058824
150,0.05,10,0.07843137
150,0.05,15,0.11764706
150,0.05,20,0.15686275
150,0.05,25,0.19607843
150,0.05,50,0.32156863
150,0.05,75,0.41960784
150,0.05,100,0.51764706
150,0.1,1,0.01666667
150,0.1,2,0.03333333
150,0.1,3,0.05
150,0.1,4,0.06666667
150,0.1,5,0.08333333
150,0.1,6,0.1
150,0.1,7,0.11568627
150,0.1,8,0.13137255
150,0.1,9,0.14411765
150,0.1,10,0.15686275
150,0.1,15,0.22058824
150,0.1,20,0.28235294
150,0.1,25,0.34117647
150,0.1,50,0.56176471
150,0.1,75,0.70196078
150,0.1,100,0.8
150,0.25,1,0.05588235
150,0.25,2,0.10784314
150,0.25,3,0.15784314
150,0.25,4,0.20588235
150,0.25,5,0.25098039
150,0.25,6,0.29313725
150,0.25,7,0.33137255
150,0.25,8,0.36862745
150,0.25,9,0.40392157
150,0.25,10,0.4372549
150,0.25,15,0.57745098
150,0.25,20,0.68333333
150,0.25,25,0.76372549
150,0.25,50,0.93921569
150,0.25,75,0.96666667
150,0.25,100,0.96666667
150,0.5,1,0.16666667
150,0.5,2,0.30392157
150,0.5,3,0.41960784
150,0.5,4,0.51568627
150,0.5,5,0.59705882
150,0.5,6,0.66372549
150,0.5,7,0.71862745
150,0.5,8,0.76568627
150,0.5,9,0.80588235
150,0.5,10,0.83823529
150,0.5,15,0.93431373
150,0.5,20,0.97254902
150,0.5,25,0.98921569
150,0.5,50,0.99117647
150,0.5,75,0.99117647
150,0.5,100,0.99117647
150,0.65,1,0.26764706
150,0.65,2,0.4627451
150,0.65,3,0.60588235
150,0.65,4,0.71176471
150,0.65,5,0.78823529
150,0.65,6,0.84509804
150,0.65,7,0.88627451
150,0.65,8,0.91568627
150,0.65,9,0.9372549
150,0.65,10,0.95392157
150,0.65,15,0.99019608
150,0.65,20,0.99509804
150,0.65,25,0.99509804
150,0.65,50,0.99509804
150,0.65,75,0.99509804
150,0.65,100,0.99509804
150,0.77,1,0.36764706
150,0.77,2,0.6
150,0.77,3,0.74607843
150,0.77,4,0.83823529
150,0.77,5,0.89705882
150,0.77,6,0.93431373
150,0.77,7,0.95882353
150,0.77,8,0.97352941
150,0.77,9,0.98235294
150,0.77,10,0.98921569
150,0.77,15,0.99607843
150,0.77,20,0.99607843
150,0.77,25,0.99607843
150,0.77,50,0.99607843
150,0.77,75,0.99607843
150,0.77,100,0.99607843
150,0.85,1,0.44411765
150,0.85,2,0.69019608
150,0.85,3,0.82745098
150,0.85,4,0.90392157
150,0.85,5,0.94607843
150,0.85,6,0.96960784
150,0.85,7,0.98333333
150,0.85,8,0.99019608
150,0.85,9,0.99509804
150,0.85,10,0.99607843
150,0.85,15,0.99607843
150,0.85,20,0.99607843
150,0.85,25,0.99607843
150,0.85,50,0.99607843
150,0.85,75,0.99607843
150,0.85,100,0.99607843
150,1,1,0.59901961
150,1,2,0.84019608
150,1,3,0.93529412
150,1,4,0.97352941
150,1,5,0.99019608
150,1,6,0.99509804
150,1,7,0.99901961
150,1,8,1
150,1,9,1
150,1,10,1
150,1,15,1
150,1,20,1
150,1,25,1
150,1,50,1
150,1,75,1
150,1,100,1
200,0.05,1,0.00784314
200,0.05,2,0.01568627
200,0.05,3,0.02352941
200,0.05,4,0.03137255
200,0.05,5,0.03921569
200,0.05,6,0.04705882
200,0.05,7,0.05490196
200,0.05,8,0.0627451
200,0.05,9,0.07058824
200,0.05,10,0.07843137
200,0.05,15,0.11764706
200,0.05,20,0.15686275
200,0.05,25,0.19607843
200,0.05,50,0.32156863
200,0.05,75,0.41960784
200,0.05,100,0.51764706
200,0.1,1,0.01666667
200,0.1,2,0.03333333
200,0.1,3,0.05
200,0.1,4,0.06666667
200,0.1,5,0.08333333
200,0.1,6,0.1
200,0.1,7,0.11568627
200,0.1,8,0.13137255
200,0.1,9,0.14411765
200,0.1,10,0.15686275
200,0.1,15,0.22058824
200,0.1,20,0.28235294
200,0.1,25,0.34117647
200,0.1,50,0.56176471
200,0.1,75,0.70196078
200,0.1,100,0.8
200,0.25,1,0.05588235
200,0.25,2,0.10784314
200,0.25,3,0.15784314
200,0.25,4,0.20588235
200,0.25,5,0.25098039
200,0.25,6,0.29313725
200,0.25,7,0.33137255
200,0.25,8,0.36862745
200,0.25,9,0.40392157
200,0.25,10,0.4372549
200,0.25,15,0.57745098
200,0.25,20,0.68333333
200,0.25,25,0.76372549
200,0.25,50,0.93921569
200,0.25,75,0.96666667
200,0.25,100,0.96666667
200,0.5,1,0.16666667
200,0.5,2,0.30392157
200,0.5,3,0.41960784
200,0.5,4,0.51568627
200,0.5,5,0.59705882
200,0.5,6,0.66372549
200,0.5,7,0.71862745
200,0.5,8,0.76568627
200,0.5,9,0.80588235
200,0.5,10,0.83823529
200,0.5,15,0.93431373
200,0.5,20,0.97254902
200,0.5,25,0.98921569
200,0.5,50,0.99117647
200,0.5,75,0.99117647
200,0.5,100,0.99117647
200,0.65,1,0.26764706
200,0.65,2,0.4627451
200,0.65,3,0.60588235
200,0.65,4,0.71176471
200,0.65,5,0.78823529
200,0.65,6,0.84509804
200,0.65,7,0.88627451
200,0.65,8,0.91568627
200,0.65,9,0.9372549
200,0.65,10,0.95392157
200,0.65,15,0.99019608
200,0.65,20,0.99509804
200,0.65,25,0.99509804
200,0.65,50,0.99509804
200,0.65,75,0.99509804
200,0.65,100,0.99509804
200,0.77,1,0.36764706
200,0.77,2,0.6
200,0.77,3,0.74607843
200,0.77,4,0.83823529
200,0.77,5,0.89705882
200,0.77,6,0.93431373
200,0.77,7,0.95882353
200,0.77,8,0.97352941
200,0.77,9,0.98235294
200,0.77,10,0.98921569
200,0.77,15,0.99607843
200,0.77,20,0.99607843
200,0.77,25,0.99607843
200,0.77,50,0.99607843
200,0.77,75,0.99607843
200,0.77,100,0.99607843
200,0.85,1,0.44509804
200,0.85,2,0.69117647
200,0.85,3,0.82745098
200,0.85,4,0.90392157
200,0.85,5,0.94607843
200,0.85,6,0.97058824
200,0.85,7,0.98431373
200,0.85,8,0.99019608
200,0.85,9,0.99509804
200,0.85,10,0.99607843
200,0.85,15,0.99607843
200,0.85,20,0.99607843
200,0.85,25,0.99607843
200,0.85,50,0.99607843
200,0.85,75,0.99607843
200,0.85,100,0.99607843
200,1,1,0.59901961
200,1,2,0.84019608
200,1,3,0.93529412
200,1,4,0.97352941
200,1,5,0.99019608
200,1,6,0.99509804
200,1,7,0.99901961
200,1,8,1
200,1,9,1
200,1,10,1
200,1,15,1
200,1,20,1
200,1,25,1
200,1,50,1
200,1,75,1
200,1,100,1
