S,P,N,center_alpha
5,0.85,7,0.99019608
5,0.85,8,0.99411765
5,0.85,9,0.99607843
5,0.85,10,0.99607843
5,0.85,15,0.99607843
5,0.85,20,0.99607843
5,0.85,25,0.99607843
5,0.85,50,0.99607843
5,0.85,75,0.99607843
5,0.85,100,0.99607843
5,1,1,0.55392157
5,1,2,0.79607843
5,1,3,0.90490196
5,1,4,0.95490196
5,1,5,0.97843137
5,1,6,0.98921569
5,1,7,0.99313725
5,1,8,0.99607843
5,1,9,0.99607843
5,1,10,0.99607843
5,1,15,0.99607843
5,1,20,0.99607843
5,1,25,0.99607843
5,1,50,0.99607843
5,1,75,0.99607843
5,1,100,0.99607843
6,0.05,1,0.01862745
6,0.05,2,0.0372549
6,0.05,3,0.05588235
6,0.05,4,0.0745098
6,0.05,5,0.09215686
6,0.05,6,0.10980392
6,0.05,7,0.12647059
6,0.05,8,0.14313725
6,0.05,9,0.15784314
6,0.05,10,0.17254902
6,0.05,15,0.24313725
6,0.05,20,0.30980392
6,0.05,25,0.37156863
6,0.05,50,0.59901961
6,0.05,75,0.73627451
6,0.05,100,0.83431373
6,0.1,1,0.04215686
6,0.1,2,0.08235294
6,0.1,3,0.12058824
6,0.1,4,0.15686275
6,0.1,5,0.19215686
6,0.1,6,0.22647059
6,0.1,7,0.25882353
6,0.1,8,0.28921569
6,0.1,9,0.31862745
6,0.1,10,0.34607843
6,0.1,15,0.46862745
6,0.1,20,0.56960784
6,0.1,25,0.65
6,0.1,50,0.86960784
6,0.1,75,0.94215686
6,0.1,100,0.95294118
6,0.25,1,0.13137255
6,0.25,2,0.24509804
6,0.25,3,0.34411765
6,0.25,4,0.42941176
6,0.25,5,0.50196078
6,0.25,6,0.56568627
6,0.25,7,0.62058824
6,0.25,8,0.66764706
6,0.25,9,0.70980392
6,0.25,10,0.74607843
6,0.25,15,0.87058824
6,0.25,20,0.93235294
6,0.25,25,0.96470588
6,0.25,50,0.9872549
6,0.25,75,0.9872549
6,0.25,100,0.9872549
6,0.5,1,0.30098039
6,0.5,2,0.50882353
6,0.5,3,0.65490196
6,0.5,4,0.75686275
6,0.5,5,0.82745098
6,0.5,6,0.87647059
6,0.5,7,0.91176471
6,0.5,8,0.93823529
6,0.5,9,0.95490196
6,0.5,10,0.96764706
6,0.5,15,0.99313725
6,0.5,20,0.99607843
6,0.5,25,0.99607843
6,0.5,50,0.99607843
6,0.5,75,0.99607843
6,0.5,100,0.99607843
6,0.65,1,0.39901961
6,0.65,2,0.63627451
6,0.65,3,0.77843137
6,0.65,4,0.86470588
6,0.65,5,0.91666667
6,0.65,6,0.94803922
6,0.65,7,0.96764706
6,0.65,8,0.97941176
6,0.65,9,0.9872549
6,0.65,10,0.99117647
6,0.65,15,0.99607843
6,0.65,20,0.99607843
6,0.65,25,0.99607843
6,0.65,50,0.99607843
6,0.65,75,0.99607843
6,0.65,100,0.99607843
6,0.77,1,0.46666667
6,0.77,2,0.7127451
6,0.77,3,0.84411765
6,0.77,4,0.91470588
6,0.77,5,0.95294118
6,0.77,6,0.9745098
6,0.77,7,0.98431373
6,0.77,8,0.99117647
6,0.77,9,0.99509804
6,0.77,10,0.99705882
6,0.77,15,0.99705882
6,0.77,20,0.99705882
6,0.77,25,0.99705882
6,0.77,50,0.99705882
6,0.77,75,0.99705882
6,0.77,100,0.99705882
6,0.85,1,0.50686275
6,0.85,2,0.75490196
6,0.85,3,0.87647059
6,0.85,4,0.9372549
6,0.85,5,0.96764706
6,0.85,6,0.98333333
6,0.85,7,0.99215686
6,0.85,8,0.99607843
6,0.85,9,0.99803922
6,0.85,10,0.99803922
6,0.85,15,0.99803922
6,0.85,20,0.99803922
6,0.85,25,0.99803922
6,0.85,50,0.99803922
6,0.85,75,0.99803922
6,0.85,100,0.99803922
6,1,1,0.57254902
6,1,2,0.81470588
6,1,3,0.91862745
6,1,4,0.96470588
6,1,5,0.98431373
6,1,6,0.99411765
6,1,7,0.99803922
6,1,8,1
6,1,9,1
6,1,10,1
6,1,15,1
6,1,20,1
6,1,25,1
6,1,50,1
6,1,75,1
6,1,100,1
8,0.05,1,0.01372549
8,0.05,2,0.02745098
8,0.05,3,0.04117647
8,0.05,4,0.05490196
8,0.05,5,0.06862745
8,0.05,6,0.08235294
8,0.05,7,0.09607843
8,0.05,8,0.10980392
8,0.05,9,0.12156863
8,0.05,10,0.13333333
8,0.05,15,0.19215686
8,0.05,20,0.24117647
8,0.05,25,0.29019608
8,0.05,50,0.49607843
8,0.05,75,0.62941176
8,0.05,100,0.72745098
8,0.1,1,0.03137255
8,0.1,2,0.0627451
