r,mean_alpha
0,0.44509804
1,0.44607843
2,0.42843137
3,0.43019608
4,0.43179272
5,0.42830882
6,0.43672014
7,0.42594268
8,0.4254085
9,0.42098039
10,0.42808535
11,0.41954657
12,0.42369991
13,0.42105263
14,0.41886275
15,0.41638072
16,0.42396078
17,0.41347131
18,0.40863499
19,0.41369748
20,0.40505051
21,0.40870469
22,0.41017878
23,0.4112605
24,0.40934793
25,0.40750774
26,0.40724534
27,0.40278867
28,0.40396717
29,0.39985081
30,0.397499
31,0.39959631
32,0.39851056
33,0.39963476
34,0.39557899
35,0.39709653
36,0.39476053
37,0.39455159
38,0.3867406
39,0.38275862
40,0.37987934
41,0.37638009
42,0.37128639
43,0.36427782
44,0.36320077
45,0.35439162
46,0.35383754
47,0.34975145
48,0.34475914
49,0.34286636
50,0.33719438
51,0.33430099
52,0.32919656
53,0.3227473
54,0.31961995
55,0.31277814
56,0.30992375
57,0.30474036
58,0.29946336
59,0.29385545
60,0.29027864
61,0.28346659
62,0.27601505
63,0.27277451
64,0.27171621
65,0.26314825
66,0.25730581
67,0.25023823
68,0.24587686
69,0.24037519
70,0.23596144
71,0.22681238
72,0.21834612
73,0.21230742
74,0.20510123
75,0.19616906
76,0.19303406
77,0.18009724
78,0.17206275
79,0.16657899
80,0.15684789
81,0.15296509
82,0.1448361
83,0.13259427
84,0.12788589
85,0.11461005
86,0.10979677
87,0.10181373
88,0.09198983
89,0.08526631
90,0.07565826
91,0.068582
92,0.05779581
93,0.04853622
94,0.04303337
95,0.03488617
96,0.02685506
97,0.02160837
98,0.01477546
99,0.00942163
100,0.0020362
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
