r,mean_alpha
0,0.93529412
1,0.93529412
2,0.92647059
3,0.92764706
4,0.92843137
5,0.92696078
6,0.93048128
7,0.92488688
8,0.9244281
9,0.92196078
10,0.92474048
11,0.91979167
12,0.92348679
13,0.92115583
14,0.92066667
15,0.91821895
16,0.92333333
17,0.91793755
18,0.91459276
19,0.91742297
20,0.91179441
21,0.91405229
22,0.91490773
23,0.91532213
24,0.91422709
25,0.9128225
26,0.91286466
27,0.90986928
28,0.91055632
29,0.90775789
30,0.90634254
31,0.90726644
32,0.90667421
33,0.90749712
34,0.904532
35,0.90597662
36,0.90398586
37,0.90326262
38,0.8978785
39,0.89472617
40,0.89263952
41,0.88974359
42,0.8853981
43,0.88006076
44,0.87801712
45,0.87080312
46,0.87015406
47,0.86600387
48,0.86054224
49,0.85883643
50,0.85346163
51,0.84963076
52,0.84430894
53,0.83716678
54,0.83398693
55,0.82587574
56,0.82246187
57,0.81607412
58,0.80960784
59,0.80289558
60,0.7979257
61,0.78859699
62,0.77857992
63,0.77383333
64,0.77195868
65,0.75903427
66,0.7495098
67,0.73961884
68,0.73168408
69,0.72286953
70,0.71385731
71,0.69807519
72,0.68185848
73,0.66964286
74,0.65463096
75,0.63596968
76,0.62672859
77,0.59918699
78,0.58059608
79,0.56563845
80,0.54106506
81,0.52946756
82,0.50689268
83,0.47371795
84,0.45855079
85,0.42038921
86,0.40470159
87,0.37715686
88,0.34623094
89,0.3217216
90,0.28710084
91,0.2603558
92,0.21939148
93,0.18386438
94,0.16038826
95,0.12712857
96,0.09453415
97,0.07269475
98,0.04628083
99,0.02764213
100,0.005455
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
