r,mean_alpha
0,0.93431373
1,0.93529412
2,0.92039216
3,0.92294118
4,0.92310924
5,0.92242647
6,0.92798574
7,0.92088989
8,0.91895425
9,0.9169281
10,0.92128028
11,0.91439951
12,0.91879795
13,0.91723426
14,0.91537255
15,0.91376634
16,0.92152941
17,0.91259985
18,0.9081825
19,0.91240896
20,0.904694
21,0.90852644
22,0.90963091
23,0.91187675
24,0.91007752
25,0.90902993
26,0.90839311
27,0.9051634
28,0.90567715
29,0.90238704
30,0.90062025
31,0.90261438
32,0.90137632
33,0.90340254
34,0.89937107
35,0.90258296
36,0.89991964
37,0.89966249
38,0.89315333
39,0.89066937
40,0.88888386
41,0.8859276
42,0.88144682
43,0.87595968
44,0.87557305
45,0.86764706
46,0.8682493
47,0.86481635
48,0.85941661
49,0.85946852
50,0.85458727
51,0.85187166
52,0.84733381
53,0.83940295
54,0.83805374
55,0.82998458
56,0.82826797
57,0.8221073
58,0.81680083
59,0.81059052
60,0.80679051
61,0.79724919
62,0.78880967
63,0.78515686
64,0.78620072
65,0.77435404
66,0.76620475
67,0.75542423
68,0.74974345
69,0.74391026
70,0.73856484
71,0.72373628
72,0.71075874
73,0.70426296
74,0.69207716
75,0.67683309
76,0.674527
77,0.64976088
78,0.63589804
79,0.62812849
80,0.60872698
81,0.60523673
82,0.59073492
83,0.5621644
84,0.55544744
85,0.52338198
86,0.51737513
87,0.4982423
88,0.47639797
89,0.46260604
90,0.43602941
91,0.4187573
92,0.38651116
93,0.3599469
94,0.34561096
95,0.3212528
96,0.29001666
97,0.26614335
98,0.23456673
99,0.16908373
100,0.04799522
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
