r,mean_alpha
0,0.8
1,0.80735294
2,0.78803922
3,0.7854902
4,0.78767507
5,0.78357843
6,0.79634581
7,0.7928356
8,0.78513072
9,0.79163399
10,0.79717416
11,0.78394608
12,0.78959932
13,0.7878225
14,0.78
15,0.7876634
16,0.79027451
17,0.78493101
18,0.77820513
19,0.78044818
20,0.77602496
21,0.77587641
22,0.77696078
23,0.77798319
24,0.77685819
25,0.78010836
26,0.77412721
27,0.77294118
28,0.77227542
29,0.76792413
30,0.76652661
31,0.76589773
32,0.764819
33,0.76889658
34,0.76285609
35,0.76559201
36,0.76321119
37,0.76081646
38,0.75875924
39,0.7576572
40,0.75481146
41,0.74831071
42,0.75029709
43,0.73956089
44,0.74664457
45,0.7383293
46,0.7377451
47,0.73939519
48,0.73531832
49,0.73597781
50,0.73520939
51,0.73200917
52,0.729077
53,0.72325402
54,0.7258533
55,0.71672174
56,0.71542484
57,0.71208791
58,0.70843137
59,0.70720474
60,0.70342621
61,0.69819151
62,0.69704892
63,0.69379412
64,0.69099726
65,0.68922485
66,0.68748115
67,0.67543522
68,0.67716694
69,0.67761124
70,0.67414731
71,0.66301493
72,0.66
73,0.6616159
74,0.65204049
75,0.64864887
76,0.65303578
77,0.63596365
78,0.62924706
79,0.63373984
80,0.62151664
81,0.62606408
82,0.62049094
83,0.60426848
84,0.60429751
85,0.58819844
86,0.58527981
87,0.58056022
88,0.57545389
89,0.56873175
90,0.56263305
91,0.55597974
92,0.54701826
93,0.53839869
94,0.53644981
95,0.53143835
96,0.52282455
97,0.51732909
98,0.51334598
99,0.39144161
100,0.11075918
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
