r,mean_alpha
0,0.15784314
1,0.16078431
2,0.15078431
3,0.15078431
4,0.15294118
5,0.14963235
6,0.15427807
7,0.15082956
8,0.1496732
9,0.14823529
10,0.15351788
11,0.14773284
12,0.14957374
13,0.1495872
14,0.14611765
15,0.14754902
16,0.15011765
17,0.14546115
18,0.14249623
19,0.1457423
20,0.14230541
21,0.14358289
22,0.14351211
23,0.14408964
24,0.14382125
25,0.14300826
26,0.14313725
27,0.14180828
28,0.14167807
29,0.13970588
30,0.1389956
31,0.14034987
32,0.13940422
33,0.1411188
34,0.13843877
35,0.13998869
36,0.13882996
37,0.1383478
38,0.13576021
39,0.13475321
40,0.13375566
41,0.13309201
42,0.13163993
43,0.12869373
44,0.12948081
45,0.12661832
46,0.12705882
47,0.12578017
48,0.12447349
49,0.1248581
50,0.12310579
51,0.12249809
52,0.120923
53,0.11888081
54,0.11907528
55,0.11716237
56,0.11602397
57,0.11485671
58,0.11369453
59,0.1122549
60,0.11144479
61,0.10924234
62,0.10758566
63,0.10658824
64,0.10688383
65,0.10448048
66,0.10321456
67,0.10054059
68,0.09979842
69,0.09913273
70,0.0982287
71,0.09561972
72,0.0931202
73,0.09280462
74,0.09084967
75,0.08864722
76,0.08824389
77,0.08489558
78,0.08287059
79,0.08242468
80,0.08022133
81,0.08000159
82,0.07850621
83,0.07504525
84,0.07464249
85,0.07108949
86,0.07059539
87,0.06883053
88,0.06666667
89,0.06538034
90,0.06322829
91,0.06162187
92,0.05870859
93,0.05644744
94,0.05542137
95,0.053586
96,0.05087146
97,0.04926471
98,0.04679317
99,0.03501665
100,0.00991704
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
