r,mean_alpha
0,0.04705882
1,0.05
2,0.04705882
3,0.04705882
4,0.04621849
5,0.04705882
6,0.04652406
7,0.04660633
8,0.04558824
9,0.04666667
10,0.04602076
11,0.04558824
12,0.04603581
13,0.04613003
14,0.04588235
15,0.04681373
16,0.04682353
17,0.04618736
18,0.04638009
19,0.04638655
20,0.04456328
21,0.0459893
22,0.04567474
23,0.04537815
24,0.04569083
25,0.04566563
26,0.04505022
27,0.04588235
28,0.04541724
29,0.04475703
30,0.0454982
31,0.04486736
32,0.04513575
33,0.04579008
34,0.04483907
35,0.04604072
36,0.04493732
37,0.04522662
38,0.04474446
39,0.04442191
40,0.0440724
41,0.04425339
42,0.04402852
43,0.04283347
44,0.04341342
45,0.04214343
46,0.04268908
47,0.04233637
48,0.0422658
49,0.04233746
50,0.04183007
51,0.04186402
52,0.04175036
53,0.04071381
54,0.04146696
55,0.04005288
56,0.04019608
57,0.03994829
58,0.04006192
59,0.03926129
60,0.03900929
61,0.03814963
62,0.03743316
63,0.03652941
64,0.0368754
65,0.0362287
66,0.03631222
67,0.03512919
68,0.03452446
69,0.03512443
70,0.03509639
71,0.03211009
72,0.03222506
73,0.03219538
74,0.03142037
75,0.02951063
76,0.03003096
77,0.02864658
78,0.02814118
79,0.02711621
80,0.02745098
81,0.02764228
82,0.02658285
83,0.02624434
84,0.02605042
85,0.025387
86,0.02490339
87,0.02495798
88,0.02422658
89,0.02419691
90,0.0239916
91,0.02388002
92,0.02369168
93,0.02369281
94,0.02364628
95,0.02360837
96,0.02364475
97,0.0236089
98,0.02345351
99,0.01798002
100,0.00512821
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
