r,mean_alpha
0,0.05588235
1,0.05686275
2,0.05313725
3,0.05313725
4,0.05378151
5,0.05257353
6,0.05445633
7,0.05324284
8,0.05261438
9,0.05222222
10,0.05403691
11,0.05202206
12,0.05268542
13,0.05263158
14,0.05137255
15,0.05187908
16,0.05282353
17,0.05112564
18,0.05003771
19,0.05120448
20,0.04994058
21,0.05044563
22,0.05037486
23,0.05058824
24,0.0505016
25,0.050258
26,0.05028694
27,0.04978214
28,0.0497264
29,0.04901961
30,0.0487395
31,0.04921184
32,0.04883107
33,0.04948097
34,0.04850166
35,0.04905732
36,0.04861781
37,0.04845709
38,0.04752491
39,0.04709263
40,0.046727
41,0.04650075
42,0.0459893
43,0.04487711
44,0.04518089
45,0.04414451
46,0.0442577
47,0.04378625
48,0.04333091
49,0.04347265
50,0.04278625
51,0.04257703
52,0.04201339
53,0.04125358
54,0.04133382
55,0.04060366
56,0.04018519
57,0.03976514
58,0.03930857
59,0.03879389
60,0.03852425
61,0.03774034
62,0.03711626
63,0.03678431
64,0.03690702
65,0.03604545
66,0.03558635
67,0.03464358
68,0.03435038
69,0.03410633
70,0.03378646
71,0.03286562
72,0.03197783
73,0.03182773
74,0.03113343
75,0.03030153
76,0.03017716
77,0.02891758
78,0.02818039
79,0.02800096
80,0.02722074
81,0.02708433
82,0.02655291
83,0.02530166
84,0.02514374
85,0.02386849
86,0.02365822
87,0.02306723
88,0.02228032
89,0.0218398
90,0.02111345
91,0.02056226
92,0.0195808
93,0.01881808
94,0.01847812
95,0.01786419
96,0.01696143
97,0.01642157
98,0.01559772
99,0.01167222
100,0.00330568
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
