r,mean_alpha
0,0.99019608
1,0.99068627
2,0.98647059
3,0.9872549
4,0.98697479
5,0.9872549
6,0.98903743
7,0.98665158
8,0.98586601
9,0.98496732
10,0.98615917
11,0.98382353
12,0.98661552
13,0.98488132
14,0.98490196
15,0.98386438
16,0.98713725
17,0.9845679
18,0.98284314
19,0.98414566
20,0.98128342
21,0.98247178
22,0.98313149
23,0.98322129
24,0.98274054
25,0.98276574
26,0.98256815
27,0.9812854
28,0.98182855
29,0.98049872
30,0.97991196
31,0.98029604
32,0.98003394
33,0.98098808
34,0.97935627
35,0.98101433
36,0.97968499
37,0.97952427
38,0.9768081
39,0.97586207
40,0.9754902
41,0.9741629
42,0.97241533
43,0.97014637
44,0.96944214
45,0.96595488
46,0.96631653
47,0.96474731
48,0.96186153
49,0.9619453
50,0.95975551
51,0.95749936
52,0.95532042
53,0.95080414
54,0.95016945
55,0.94557171
56,0.9445098
57,0.94072398
58,0.93739938
59,0.93378933
60,0.93150671
61,0.92496669
62,0.91919192
63,0.9170098
64,0.91796331
65,0.90886934
66,0.90171569
67,0.89548287
68,0.89072751
69,0.88607655
70,0.88047454
71,0.86937399
72,0.85782609
73,0.85133929
74,0.84084967
75,0.82680013
76,0.82247162
77,0.79859716
78,0.78488627
79,0.77553005
80,0.7528669
81,0.74754503
82,0.72892531
83,0.69499246
84,0.68536783
85,0.64419873
86,0.63603836
87,0.60842437
88,0.57883079
89,0.55605618
90,0.51629552
91,0.49202701
92,0.4413117
93,0.39997277
94,0.37632126
95,0.3350375
96,0.28748558
97,0.25308029
98,0.20428843
99,0.14371686
100,0.03780794
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
