S,P,N,a_r0,a_r1,a_r2,a_r3,a_r4,a_r5,a_r6,a_r12,a_r25,a_r50,a_r75,a_r100
4,0.65,8,0.96960784,0.5,0.03882353,0,0,0,0,0,0,0,0,0
4,0.65,9,0.97941176,0.51372549,0.04078431,0,0,0,0,0,0,0,0,0
4,0.65,10,0.98529412,0.5245098,0.04235294,0,0,0,0,0,0,0,0,0
4,0.65,15,0.99411765,0.55637255,0.04686275,0,0,0,0,0,0,0,0,0
4,0.65,20,0.99411765,0.57254902,0.04862745,0,0,0,0,0,0,0,0,0
4,0.65,25,0.99411765,0.58284314,0.04941176,0,0,0,0,0,0,0,0,0
4,0.65,50,0.99411765,0.60882353,0.04941176,0,0,0,0,0,0,0,0,0
4,0.65,75,0.99411765,0.61568627,0.04941176,0,0,0,0,0,0,0,0,0
4,0.65,100,0.99411765,0.61568627,0.04941176,0,0,0,0,0,0,0,0,0
4,0.77,1,0.44607843,0.17745098,0.01,0,0,0,0,0,0,0,0,0
4,0.77,2,0.68333333,0.29264706,0.01803922,0,0,0,0,0,0,0,0,0
4,0.77,3,0.81372549,0.36911765,0.0245098,0,0,0,0,0,0,0,0,0
4,0.77,4,0.8872549,0.42205882,0.02960784,0,0,0,0,0,0,0,0,0
4,0.77,5,0.92941176,0.45931373,0.03372549,0,0,0,0,0,0,0,0,0
4,0.77,6,0.95490196,0.48578431,0.03686275,0,0,0,0,0,0,0,0,0
4,0.77,7,0.97058824,0.50490196,0.03960784,0,0,0,0,0,0,0,0,0
4,0.77,8,0.98137255,0.52009804,0.04176471,0,0,0,0,0,0,0,0,0
4,0.77,9,0.9872549,0.53137255,0.04333333,0,0,0,0,0,0,0,0,0
4,0.77,10,0.99117647,0.54166667,0.04470588,0,0,0,0,0,0,0,0,0
4,0.77,15,0.99411765,0.56960784,0.04843137,0,0,0,0,0,0,0,0,0
4,0.77,20,0.99411765,0.58431373,0.04941176,0,0,0,0,0,0,0,0,0
4,0.77,25,0.99411765,0.59411765,0.04941176,0,0,0,0,0,0,0,0,0
4,0.77,50,0.99411765,0.61519608,0.04941176,0,0,0,0,0,0,0,0,0
4,0.77,75,0.99411765,0.61764706,0.04941176,0,0,0,0,0,0,0,0,0
4,0.77,100,0.99411765,0.61764706,0.04941176,0,0,0,0,0,0,0,0,0
4,0.85,1,0.47156863,0.18872549,0.01058824,0,0,0,0,0,0,0,0,0
4,0.85,2,0.70980392,0.30784314,0.01901961,0,0,0,0,0,0,0,0,0
4,0.85,3,0.83431373,0.38578431,0.0254902,0,0,0,0,0,0,0,0,0
4,0.85,4,0.90098039,0.4372549,0.03058824,0,0,0,0,0,0,0,0,0
4,0.85,5,0.94117647,0.47254902,0.03470588,0,0,0,0,0,0,0,0,0
4,0.85,6,0.96568627,0.49852941,0.03803922,0,0,0,0,0,0,0,0,0
4,0.85,7,0.97941176,0.51666667,0.04058824,0,0,0,0,0,0,0,0,0
4,0.85,8,0.98627451,0.53088235,0.04254902,0,0,0,0,0,0,0,0,0
4,0.85,9,0.99117647,0.54215686,0.04411765,0,0,0,0,0,0,0,0,0
4,0.85,10,0.99313725,0.5504902,0.0454902,0,0,0,0,0,0,0,0,0
4,0.85,15,0.99411765,0.57647059,0.04862745,0,0,0,0,0,0,0,0,0
4,0.85,20,0.99411765,0.59068627,0.04941176,0,0,0,0,0,0,0,0,0
