r,mean_alpha
0,0.88627451
1,0.88676471
2,0.87
3,0.87156863
4,0.87366947
5,0.87120098
6,0.87887701
7,0.86847662
8,0.86789216
9,0.86411765
10,0.87012687
11,0.86164216
12,0.86751918
13,0.86434469
14,0.86270588
15,0.85988562
16,0.86921569
17,0.8587146
18,0.85324284
19,0.85876751
20,0.84916815
21,0.85311943
22,0.85487313
23,0.85661064
24,0.85462836
25,0.85319917
26,0.85263032
27,0.84854031
28,0.8494984
29,0.84533248
30,0.84289716
31,0.84521338
32,0.84406109
33,0.84611688
34,0.84176841
35,0.84457014
36,0.84175506
37,0.84138541
38,0.8331244
39,0.82929344
40,0.82699849
41,0.82355958
42,0.81789958
43,0.81028721
44,0.8092654
45,0.7989256
46,0.79960784
47,0.79534659
48,0.78884047
49,0.7878483
50,0.78143307
51,0.77742552
52,0.77161645
53,0.7623265
54,0.75952554
55,0.75
56,0.74699346
57,0.73975436
58,0.73255934
59,0.7246238
60,0.72002064
61,0.70868075
62,0.69784116
63,0.69346078
64,0.69361164
65,0.6797691
66,0.66957956
67,0.65793476
68,0.65123694
69,0.64319382
70,0.635739
71,0.61985069
72,0.60493606
73,0.59588585
74,0.58295871
75,0.56622178
76,0.56167011
77,0.53530209
78,0.51952941
79,0.51045752
80,0.48922311
81,0.48322971
82,0.4661877
83,0.43687783
84,0.42828395
85,0.39455993
86,0.38605983
87,0.36613445
88,0.34228758
89,0.32597692
90,0.29848039
91,0.28135307
92,0.24891143
93,0.22218137
94,0.20735619
95,0.18207659
96,0.15417147
97,0.13487679
98,0.10732448
99,0.0751634
100,0.01950729
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
