r,mean_alpha
0,0.80588235
1,0.80637255
2,0.78333333
3,0.78686275
4,0.78711485
5,0.78382353
6,0.79500891
7,0.7831825
8,0.77933007
9,0.77633987
10,0.78483276
11,0.77359069
12,0.7799659
13,0.77755418
14,0.77380392
15,0.77148693
16,0.78223529
17,0.76880901
18,0.76233032
19,0.76871148
20,0.7583779
21,0.76301248
22,0.7649654
23,0.76756303
24,0.76468308
25,0.7629773
26,0.7621473
27,0.75714597
28,0.75823073
29,0.75319693
30,0.75082033
31,0.75388312
32,0.75188537
33,0.75490196
34,0.74863115
35,0.752319
36,0.74921247
37,0.74887496
38,0.73939248
39,0.73576741
40,0.7328356
41,0.7292006
42,0.72299465
43,0.71495443
44,0.71491301
45,0.70402901
46,0.70432773
47,0.70023474
48,0.69405713
49,0.69324045
50,0.68645606
51,0.68361345
52,0.67755858
53,0.66836308
54,0.6661099
55,0.65646618
56,0.65401961
57,0.64691877
58,0.6406192
59,0.63327633
60,0.62897833
61,0.61887493
62,0.60927907
63,0.60512745
64,0.60576639
65,0.59363203
66,0.58529412
67,0.57397838
68,0.56827011
69,0.56216063
70,0.55682979
71,0.54189602
72,0.52940324
73,0.52281162
74,0.51116691
75,0.49691053
76,0.49481424
77,0.47218237
78,0.45932549
79,0.45243105
80,0.43594029
81,0.43237685
82,0.42008681
83,0.39631976
84,0.39068259
85,0.36444051
86,0.35878059
87,0.34446779
88,0.3265069
89,0.31600612
90,0.29595938
91,0.28289183
92,0.25933739
93,0.23987609
94,0.22965199
95,0.21224503
96,0.1902922
97,0.17408585
98,0.15214421
99,0.10944629
100,0.03098919
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
