r,mean_alpha
0,0.4372549
1,0.44215686
2,0.41941176
3,0.41960784
4,0.42394958
5,0.41642157
6,0.42771836
7,0.42036199
8,0.41666667
9,0.41392157
10,0.42520185
11,0.41262255
12,0.41683717
13,0.41646027
14,0.4087451
15,0.41172386
16,0.41815686
17,0.40729847
18,0.40011312
19,0.40753501
20,0.39955437
21,0.40285205
22,0.40245098
23,0.40378151
24,0.40332877
25,0.40162539
26,0.40184122
27,0.3987146
28,0.39829001
29,0.39375533
30,0.39207683
31,0.39507882
32,0.39272247
33,0.39694348
34,0.39056604
35,0.39430618
36,0.39144969
37,0.39032465
38,0.38424944
39,0.3816261
40,0.37936652
41,0.37761689
42,0.37427213
43,0.36732947
44,0.36897266
45,0.36224819
46,0.3632493
47,0.35996962
48,0.35677802
49,0.35786894
50,0.35354636
51,0.35201171
52,0.34829029
53,0.34292796
54,0.34359719
55,0.33871998
56,0.33614379
57,0.33298858
58,0.33012384
59,0.32649339
60,0.32455108
61,0.31876071
62,0.31456724
63,0.312
64,0.3130719
65,0.30665201
66,0.30336538
67,0.29647242
68,0.29405351
69,0.29255279
70,0.29000659
71,0.28309048
72,0.27634271
73,0.27534139
74,0.2699187
75,0.26355248
76,0.2625903
77,0.25299697
78,0.24728627
79,0.24595887
80,0.23983957
81,0.23895265
82,0.23480018
83,0.22506787
84,0.22387587
85,0.2139024
86,0.21238729
87,0.20764006
88,0.20159768
89,0.19808093
90,0.19229692
91,0.18780678
92,0.1799121
93,0.17380855
94,0.17100377
95,0.16616002
96,0.15860566
97,0.15401431
98,0.14745098
99,0.11054384
100,0.03141026
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
