p_header, p_value, plateau_index, start_r_px, end_r_px, start_r_norm, end_r_norm, tread_px, level_eff01, riser_to_next01, delta_tread_to_prev, tread_ratio_to_prev, log2_tread_ratio_to_prev
0_4     ,     0.4,            16,       6128,     6339,      76.6   ,    79.2375,      212, 0.185714284,     0.014285712, -5                 ,          0.97695853, -0.03363078
0_4     ,     0.4,            17,       6340,     6548,      79.25  ,    81.85  ,      209, 0.171428572,     0.014285716, -3                 ,          0.98584906, -0.02056132
0_4     ,     0.4,            18,       6549,     6752,      81.8625,    84.4   ,      204, 0.157142856,     0.014285712, -5                 ,          0.97607656, -0.03493379
0_4     ,     0.4,            19,       6753,     6954,      84.4125,    86.925 ,      202, 0.142857144,     0.014285716, -2                 ,          0.99019608, -0.01421386
0_4     ,     0.4,            20,       6955,     7154,      86.9375,    89.425 ,      200, 0.128571428,     0.014285712, -2                 ,          0.99009901, -0.01435529
0_4     ,     0.4,            21,       7155,     7351,      89.4375,    91.8875,      197, 0.114285716,     0.014285716, -3                 ,          0.985     , -0.02180437
0_4     ,     0.4,            22,       7352,     7547,      91.9   ,    94.3375,      196, 0.1        ,     0.014285716, -1                 ,          0.99492386, -0.00734198
0_4     ,     0.4,            23,       7548,     7741,      94.35  ,    96.7625,      194, 0.085714284,     0.014285712, -2                 ,          0.98979592, -0.014797
0_4     ,     0.4,            24,       7742,     7933,      96.775 ,    99.1625,      192, 0.071428572,     0.014285716, -2                 ,          0.98969072, -0.01495034
0_4     ,     0.4,            25,       7934,     8000,      99.175 ,   100     ,       67, 0.057142856,                , -125               ,          0.34895833, -1.51887331
0_5     ,     0.5,             1,          0,       58,       0     ,     0.725 ,       59, 0.5        ,     0.01190476 ,                    ,                    , 
0_5     ,     0.5,             2,         59,      671,       0.7375,     8.3875,      613, 0.48809524 ,     0.011904765, 554                ,         10.38983051, 3.37710021
0_5     ,     0.5,             3,        672,     1285,       8.4   ,    16.0625,      614, 0.476190475,     0.01190476 , 1                  ,          1.00163132, 0.00235158
0_5     ,     0.5,             4,       1286,     1901,      16.075 ,    23.7625,      616, 0.464285715,     0.011904765, 2                  ,          1.00325733, 0.0046917
0_5     ,     0.5,             5,       1902,     2519,      23.775 ,    31.4875,      618, 0.45238095 ,     0.01190476 , 2                  ,          1.00324675, 0.00467649
0_5     ,     0.5,             6,       2520,     3042,      31.5   ,    38.025 ,      523, 0.44047619 ,     0.01190476 , -95                ,          0.84627832, -0.24079589
