file,roi_x,roi_y,roi_w,roi_h,scale,period_px,window_w_px,period_dip,window_w_dip,win_index,win_x,alpha_nonzero_count,alpha_mean,alpha_stddev,alpha_max
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,0,10,3158,0.00039553,0.00134119,2
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,1,28,6122,0.00080599,0.00189884,3
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,2,46,8948,0.00126699,0.00238962,3
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,3,64,10519,0.00161928,0.00274658,3
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,4,82,12400,0.00193519,0.0029335,3
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,5,100,13752,0.00238126,0.00337398,3
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,6,118,15672,0.00296819,0.00379785,4
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,7,136,16971,0.00352386,0.00421367,4
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,8,154,18030,0.00401449,0.00454372,4
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,9,172,19231,0.00443224,0.00475346,5
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,10,190,19942,0.00519085,0.00570078,7
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,11,208,20951,0.00619444,0.00660816,7
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,12,226,21845,0.0070342,0.00734351,8
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,13,244,22657,0.0080646,0.00815398,8
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,14,262,23477,0.00929608,0.00893573,9
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,15,280,24183,0.01026438,0.00959636,9
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,16,298,24992,0.01129346,0.0102009,10
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,17,316,25498,0.01196972,0.0106517,10
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,18,334,26122,0.0133037,0.01134987,10
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,19,352,26734,0.01429161,0.01186892,11
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,20,370,27014,0.01546351,0.01292514,13
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,21,388,27490,0.01650915,0.01376513,14
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,22,406,28026,0.01810773,0.01484238,15
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,23,424,28561,0.01996786,0.01594366,16
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,24,442,29302,0.02153017,0.01661407,16
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,25,460,29576,0.02287723,0.01744911,17
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,26,478,30236,0.02484074,0.01825511,18
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,27,496,30476,0.02584009,0.01886917,18
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,28,514,30742,0.0266768,0.01910018,18
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,29,532,31118,0.0283451,0.01999039,19
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,30,550,31578,0.03077865,0.02134815,22
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,31,568,31959,0.03315893,0.02277525,23
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,32,586,32292,0.03525773,0.02387684,24
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,33,604,32544,0.03677048,0.0245108,24
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,34,622,32644,0.03769118,0.02500641,24
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,35,640,32928,0.03982843,0.02606529,25
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,36,658,33112,0.04164096,0.0268435,26
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,37,676,33357,0.04333126,0.02756891,27
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,38,694,33731,0.04602941,0.02859443,28
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,39,712,33943,0.04772048,0.02921792,28
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,40,730,34156,0.05059107,0.03064492,30
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,41,748,34147,0.05159695,0.03142263,31
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,42,766,34625,0.05440937,0.03262628,33
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,43,784,34649,0.0565695,0.03352006,33
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,44,802,34793,0.05828856,0.03454477,33
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,45,820,34737,0.05889837,0.03485395,34
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,46,838,34880,0.06097658,0.03582676,34
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,47,856,35062,0.06433595,0.03704379,34
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,48,874,35217,0.06649793,0.03736697,35
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,10,3980,2000,10,18,18,1.8,1.8,49,892,35209,0.06807157,0.0379827,35
