file,roi_x,roi_y,roi_w,roi_h,scale,period_px,window_w_px,period_dip,window_w_dip,win_index,win_x,alpha_nonzero_count,alpha_mean,alpha_stddev,alpha_max
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,0,12,4329,0.00038819,0.00133206,2
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,1,33,8396,0.00079007,0.00188398,3
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,2,54,12419,0.00125054,0.00237198,3
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,3,75,14454,0.0015775,0.0027082,3
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,4,96,17065,0.00188718,0.00289328,3
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,5,117,18859,0.00230237,0.00331422,3
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,6,138,21593,0.00287675,0.00372149,4
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,7,159,23350,0.00338796,0.00412086,4
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,8,180,24976,0.00394476,0.00450501,4
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,9,201,26621,0.004358,0.00471795,4
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,10,222,27529,0.00486275,0.00534257,6
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,11,243,28779,0.00583427,0.00631963,7
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,12,264,30253,0.00678914,0.0071153,8
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,13,285,31259,0.0076413,0.00782348,8
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,14,306,32364,0.00883349,0.0087007,9
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,15,327,33466,0.0097605,0.00924329,9
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,16,348,34479,0.01092468,0.00998023,9
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,17,369,35487,0.01166472,0.0104593,10
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,18,390,36077,0.01259508,0.01103506,10
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,19,411,37000,0.01377926,0.01156286,11
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,20,432,37527,0.01469125,0.0122701,13
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,21,453,38083,0.01588554,0.01324262,14
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,22,474,38718,0.01709322,0.01421941,14
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,23,495,39582,0.01877653,0.0152785,15
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,24,516,40348,0.02053711,0.01616411,16
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,25,537,41152,0.02189924,0.01686748,16
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,26,558,41642,0.02338539,0.01767746,17
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,27,579,42308,0.0249211,0.01834008,18
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,28,600,42896,0.02628276,0.01902844,18
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,29,621,43087,0.0268871,0.01922311,18
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,30,642,43658,0.02861313,0.02015713,19
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,31,663,44250,0.03110528,0.02154575,22
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,32,684,44828,0.03336811,0.02289632,22
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,33,705,45208,0.03532454,0.02391633,24
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,34,726,45607,0.03683777,0.02454118,24
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,35,747,45675,0.03773459,0.02503364,25
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,36,768,46081,0.0397882,0.02604503,25
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,37,789,46349,0.04158279,0.02681307,26
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,38,810,46675,0.0431578,0.02747937,27
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,39,831,47140,0.04577879,0.02855808,27
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,40,852,47469,0.04747401,0.0291214,28
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,41,873,47836,0.05023755,0.03040742,30
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,42,894,47767,0.0515263,0.03138507,31
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,43,915,48361,0.05373701,0.0323426,32
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,12,4776,2400,12,21,21,1.75,1.75,44,936,48577,0.05617328,0.03332361,33
