file,scale,period_px,period_dip,roi_x,roi_y,roi_w,roi_h,window_w_px,window_w_dip,first_nonzero_win_index,first_nonzero_x,steady_mean,steady_stddev,ramp_reach_win_index,ramp_reach_x,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29,mean_30,mean_31,mean_32,mean_33,mean_34,mean_35,mean_36,mean_37,mean_38,mean_39,mean_40,mean_41,mean_42,mean_43,mean_44,mean_45,mean_46,mean_47,mean_48,mean_49,mean_50,mean_51,mean_52,mean_53,mean_54,mean_55,mean_56,mean_57,mean_58,mean_59,mean_60,mean_61,mean_62,mean_63,mean_64,mean_65,mean_66,mean_67,mean_68,mean_69,mean_70,mean_71,mean_72,mean_73,mean_74,mean_75,mean_76,mean_77,mean_78,mean_79,mean_80,mean_81,mean_82,mean_83,mean_84,mean_85,mean_86,mean_87,mean_88,mean_89,mean_90,mean_91,mean_92,mean_93,mean_94,mean_95,mean_96,mean_97,mean_98,mean_99
pencil-highres-4800x2424-dpi96-S200-P0.5-N1-scale12-transparent.png,12,21,1.75,12,12,4776,2400,21,1.75,0,12,0.04946792,0.0369504,39,831,0.00038819,0.00079007,0.00125054,0.0015775,0.00188718,0.00230237,0.00287675,0.00338796,0.00394476,0.004358,0.00486275,0.00583427,0.00678914,0.0076413,0.00883349,0.0097605,0.01092468,0.01166472,0.01259508,0.01377926,0.01469125,0.01588554,0.01709322,0.01877653,0.02053711,0.02189924,0.02338539,0.0249211,0.02628276,0.0268871,0.02861313,0.03110528,0.03336811,0.03532454,0.03683777,0.03773459,0.0397882,0.04158279,0.0431578,0.04577879,0.04747401,0.05023755,0.0515263,0.05373701,0.05617328,0.05777295,0.05866503,0.0602896,0.063345,0.0658117,0.06721872,0.06995542,0.07137527,0.07363095,0.07385714,0.07628276,0.07964099,0.08228494,0.08363352,0.08484166,0.08519429,0.08704272,0.08889721,0.0908289,0.09401066,0.09559679,0.09773203,0.09759026,0.09999798,0.10182571,0.10271646,0.10242989,0.1037037,0.10743892,0.10949409,0.10991955,0.11293137,0.11233061,0.11368254,0.11261687,0.11415873,0.11729326,0.11973817,0.12012901,0.12034524,0.1205547,0.12209656,0.12254404,0.12442367,0.12682423,0.12722837,0.12810045,0.12593884,0.12826346,0.12894227,0.12879622,0.12677155,0.12723903,0.13041527,0.13129443
pencil-highres-4000x2020-dpi96-S200-P0.5-N1-scale10-transparent.png,10,18,1.8,10,10,3980,2000,18,1.8,0,10,0.0507819,0.03786457,38,694,0.00039553,0.00080599,0.00126699,0.00161928,0.00193519,0.00238126,0.00296819,0.00352386,0.00401449,0.00443224,0.00519085,0.00619444,0.0070342,0.0080646,0.00929608,0.01026438,0.01129346,0.01196972,0.0133037,0.01429161,0.01546351,0.01650915,0.01810773,0.01996786,0.02153017,0.02287723,0.02484074,0.02584009,0.0266768,0.0283451,0.03077865,0.03315893,0.03525773,0.03677048,0.03769118,0.03982843,0.04164096,0.04333126,0.04602941,0.04772048,0.05059107,0.05159695,0.05440937,0.0565695,0.05828856,0.05889837,0.06097658,0.06433595,0.06649793,0.06807157,0.07124695,0.07217484,0.07335556,0.07529129,0.07827397,0.08114074,0.08369804,0.08452113,0.08449532,0.0863768,0.08869749,0.09017778,0.09344412,0.09527092,0.09745272,0.09768072,0.0996744,0.10172832,0.10266721,0.10245142,0.103711,0.10751362,0.10959074,0.11008758,0.11316808,0.11250011,0.11313007,0.11302549,0.11503333,0.11779728,0.12064913,0.12020512,0.11987691,0.12067244,0.12317593,0.12274902,0.12578159,0.12676558,0.12809782,0.1271622,0.12704532,0.12891558,0.12850675,0.12738464,0.12715425,0.12963954,0.13109052,0.13050294,0.13241732,0.13069423
pencil-highres-3200x1616-dpi96-S200-P0.5-N1-scale8-transparent.png,8,14,1.75,8,8,3184,1600,14,1.75,0,8,0.0494668,0.03694632,39,554,0.00038901,0.00078939,0.00124965,0.00157563,0.00188585,0.00230602,0.00287973,0.00339041,0.00394468,0.00436257,0.00486712,0.00582983,0.00679184,0.00763971,0.0088237,0.00976278,0.01092507,0.01166527,0.01258316,0.01377504,0.01470028,0.01588971,0.01708648,0.01876068,0.02052959,0.02188323,0.02338673,0.0249263,0.02627521,0.02689566,0.02862272,0.0311166,0.03335994,0.03532265,0.03684821,0.03774842,0.03980095,0.04157686,0.04317017,0.04577766,0.04747917,0.05023617,0.05152696,0.0537619,0.0561791,0.05776366,0.0586917,0.06027609,0.06333754,0.06582528,0.06720728,0.06999142,0.07138568,0.07363235,0.07388918,0.07628554,0.07965406,0.08227363,0.08366789,0.08484699,0.08519555,0.08705445,0.08888043,0.09085032,0.09400403,0.09560539,0.09772724,0.09758806,0.10003309,0.10180777,0.10272479,0.1024256,0.10368522,0.10743067,0.10947952,0.1099382,0.11294555,0.11235207,0.11368557,0.11264513,0.11415966,0.11729342,0.11973354,0.12012885,0.12032265,0.12053992,0.12212237,0.12255357,0.12444258,0.12683508,0.12727766,0.12808718,0.12595466,0.12826768,0.12889758,0.12880882,0.12674492,0.12720886,0.13042209,0.13130165
